source_url	parsed_url
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/travel-essentials/travel-accessories
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/lighting/flush-lighting
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/kids-homestore
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2703366_c228/souluxe-sports-jogging-bottoms-grey
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/footwear/canvas
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/assets/application-949592c80c78e5b0c9efcc105af45b354309b80ce2a89cd8ea9264f1007675d7.css
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/bathroom
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/back-to-school/school-footwear
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/new-arrivals/toddler
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/new-arrivals
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/boys-holiday-shop/shop-all?%E2%9C%93&amp;%5Bfacet_filter%5D%5Bmeta.tertiary_category%5D%5BHats%20and%20Caps%5D=on&amp;per=36&amp;sort=
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/baby/shoes?%E2%9C%93&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BBoys%5D=on&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BUnisex%5D=on&amp;sort=
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/checkout/billing_address
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/new-arrivals/baby
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/mens/categories/polo-shirts
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/baby/tops?%E2%9C%93&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BGirls%5D=on&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BUnisex%5D=on&amp;per=36&amp;sort=
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-holiday-shop/shop-all
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/product/detail/s2691515_c101/souluxe-sports-leggings-black
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/the-edit
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/girls-highlights/back-to-school/blouses-and-polos
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	http://outdatedbrowser.com/
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/lighting/chandelier-lighting
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/homeware/lighting/floor-lamps
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/coords
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids/brands/regatta
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-age/girls-3-13yrs
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/discover/character-shop/toy-story
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/discover/sunglasses?%E2%9C%93&amp;q=sunglasses&amp;%5Bfacet_filter%5D%5Bmeta.root_category%5D%5BWomens%5D=on&amp;sort=
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/boys/shop-by-age/toddler-3mnths-5yrs
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/womens/footwear/soleflex
https://www.matalan.co.uk/womens/shop-by-category/sportswear/sports-shorts-bottoms	https://www.matalan.co.uk/kids-clothing/girls/shop-by-category/accessories/bags-and-backpacks
